sampleID,Project
sample_2224,LSVF
sample_1453,LSVF
sample_1002,LSVF
sample_1257,LSVF
sample_1562,LSVF
sample_905,LSVF
sample_966,LSVF
sample_713,LSVF
sample_1342,LSVF
sample_945,LSVF
sample_2096,LSVF
sample_1135,LSVF
sample_1762,LSVF
sample_820,LSVF
sample_708,LSVF
sample_1924,LSVF
sample_802,LSVF
sample_1949,LSVF
sample_2402,LSVF
sample_594,LSVF
sample_1073,LSVF
sample_972,LSVF
sample_1725,LSVF
sample_1930,LSVF
sample_1050,LSVF
sample_1022,LSVF
sample_2450,LSVF
sample_1479,LSVF
sample_2002,LSVF
sample_124,LSVF
sample_583,LSVF
sample_2128,LSVF
sample_2055,LSVF
sample_525,LSVF
sample_1047,LSVF
sample_2029,LSVF
sample_1145,LSVF
sample_895,LSVF
sample_2361,LSVF
sample_2060,LSVF
sample_2023,LSVF
sample_250,LSVF
sample_873,LSVF
sample_1085,LSVF
sample_1388,LSVF
sample_179,LSVF
sample_2497,LSVF
sample_1938,LSVF
sample_851,LSVF
sample_1552,LSVF
sample_519,LSVF
sample_1338,LSVF
sample_948,LSVF
sample_1774,LSVF
sample_1384,LSVF
sample_896,LSVF
sample_1254,LSVF
sample_758,LSVF
sample_1575,LSVF
sample_527,LSVF
sample_752,LSVF
sample_755,LSVF
sample_765,LSVF
sample_2518,LSVF
sample_1363,LSVF
sample_1714,LSVF
sample_541,LSVF
sample_64,LSVF
sample_339,LSVF
sample_842,LSVF
sample_547,LSVF
sample_563,LSVF
sample_1742,LSVF
sample_2038,LSVF
sample_764,LSVF
sample_1088,LSVF
sample_1893,LSVF
sample_1130,LSVF
sample_1822,LSVF
sample_1451,LSVF
sample_1917,LSVF
sample_874,LSVF
sample_636,LSVF
sample_1402,LSVF
sample_1886,LSVF
sample_795,LSVF
sample_1994,LSVF
sample_1018,LSVF
sample_809,LSVF
sample_789,LSVF
sample_2485,LSVF
sample_290,LSVF
sample_653,LSVF
sample_887,LSVF
sample_921,LSVF
sample_392,LSVF
sample_915,LSVF
sample_614,LSVF
sample_312,LSVF
sample_1390,LSVF
sample_1876,LSVF
sample_543,LSVF
sample_768,LSVF
sample_2426,LSVF
sample_1745,LSVF
sample_569,LSVF
sample_1555,LSVF
sample_2266,LSVF
