mgss,colors
Aerococcus_christensenii,#F8FCA9
Aerococcus_christensenii_1,#F8FCB2
Aerococcus_christensenii_2,#F9FCBB
Aerococcus_christensenii_3,#FAFCC3
Aerococcus_christensenii_4,#FAFDCC
Aerococcus_christensenii_5,#FBFDD4
Aerococcus_christensenii_6,#FCFDDD
Aerococcus_christensenii_7,#FCFEE6
Aerococcus_christensenii_8,#FDFEEE
Aerococcus_christensenii_9,#FEFEF7
Berryella_sp001552935,#FF02D9
Berryella_sp001552935_1,#FF1CDD
Berryella_sp001552935_2,#FF35E0
Berryella_sp001552935_3,#FF4FE4
Berryella_sp001552935_4,#FF68E8
Berryella_sp001552935_5,#FF82EC
Berryella_sp001552935_6,#FF9BF0
Berryella_sp001552935_7,#FFB5F3
Berryella_sp001552935_8,#FFCEF7
Berryella_sp001552935_9,#FFE8FB
Bifidobacterium_breve,#C1FFC1
Bifidobacterium_breve_1,#C7FFC7
Bifidobacterium_breve_2,#CEFFCE
Bifidobacterium_breve_3,#D4FFD4
Bifidobacterium_breve_4,#DAFFDA
Bifidobacterium_breve_5,#E0FFE0
Bifidobacterium_breve_6,#E6FFE6
Bifidobacterium_breve_7,#EDFFED
Bifidobacterium_breve_8,#F3FFF3
Bifidobacterium_breve_9,#F9FFF9
Cutibacterium_acnes,#4D6A3B
Cutibacterium_acnes_1,#5F794F
Cutibacterium_acnes_2,#718863
Cutibacterium_acnes_3,#839777
Cutibacterium_acnes_4,#95A68A
Cutibacterium_acnes_5,#A7B59E
Cutibacterium_acnes_6,#B9C4B2
Cutibacterium_acnes_7,#CBD3C5
Cutibacterium_acnes_8,#DCE2D9
Cutibacterium_acnes_9,#EEF1ED
Dialister_sp001553355,#065D48
Dialister_sp001553355_1,#1F6D5B
Dialister_sp001553355_2,#387E6D
Dialister_sp001553355_3,#518E80
Dialister_sp001553355_4,#6A9E92
Dialister_sp001553355_5,#84AFA4
Dialister_sp001553355_6,#9DBFB7
Dialister_sp001553355_7,#B6CFC9
Dialister_sp001553355_8,#CFE0DC
Dialister_sp001553355_9,#E8F0EE
Fannyhessea_vaginae,#0202CD
Fannyhessea_vaginae_1,#1C1CD2
Fannyhessea_vaginae_2,#3535D7
Fannyhessea_vaginae_3,#4F4FDC
Fannyhessea_vaginae_4,#6868E1
Fannyhessea_vaginae_5,#8282E6
Fannyhessea_vaginae_6,#9B9BEB
Fannyhessea_vaginae_7,#B5B5F0
Fannyhessea_vaginae_8,#CECEF5
