"meanRelabund","domTaxa","mgCST","color"
0.886654019896989,"Lactobacillus_crispatus_1",1,"#FF1C1C"
0.536250625800395,"Lactobacillus_crispatus_1",2,"#FF1C1C"
0.838074822196254,"Lactobacillus_crispatus_2",3,"#FF3535"
0.796340266703743,"Lactobacillus_crispatus_3",4,"#FF4F4F"
0.8563573094227,"Lactobacillus_crispatus_4",5,"#FF6868"
0.882826572361772,"Lactobacillus_crispatus_5",6,"#FF8282"
0.706886839888663,"Lactobacillus_gasseri_1",7,"#93C660"
0.417755693367876,"Lactobacillus_gasseri_3",8,"#ABD284"
0.511659424025682,"Lactobacillus_paragasseri",9,"#0F411A"
0.83782966468923,"Lactobacillus_iners_1",10,"#FF981C"
0.523470877088435,"Lactobacillus_iners_1",11,"#FF981C"
0.665281468853628,"Lactobacillus_iners_2",12,"#FFA435"
0.730926490977833,"Lactobacillus_jensenii_1",13,"#FAE727"
0.568370574372549,"Lactobacillus_jensenii_2",14,"#FBEA3F"
0.700695692787601,"Lactobacillus_jensenii_3",15,"#FBED58"
0.609593970636787,"Lactobacillus_mulieris_3",16,"#E1C775"
0.375599841629319,"UBA629_sp005465875_1",17,"#589682"
0.377371938719826,"UBA629_sp005465875_2",18,"#6BA290"
0.200447868335114,"UBA629_sp005465875_3",19,"#7DAE9E"
0.529355519774484,"Gardnerella_vaginalis_1",20,"#444DAC"
0.239978402859838,"Gardnerella_vaginalis_C_1",21,"#6B7EC0"
0.285070841545872,"Gardnerella_swidsinkii_1",22,"#3C44A8"
0.287031128881118,"Gardnerella_swidsinkii_3",23,"#676EBC"
0.592349852970583,"Gardnerella_piotii_1",24,"#2C31A0"
0.281838463221868,"Gardnerella_piotii_2",25,"#4448AB"
0.827113747192046,"Bifidobacterium_breve_1",26,"#C7FFC7"
