domTaxa,relabund,new_mgCST,sampleID,old_mgCST
Lactobacillus_crispatus_1,0.988002402642581,1,sample_110,1
Lactobacillus_crispatus_1,0.993498660514779,1,sample_119,1
Lactobacillus_crispatus_1,0.569324669133593,1,sample_147,4
Lactobacillus_crispatus_1,0.895625824849161,1,sample_20,1
Lactobacillus_crispatus_1,0.996954061263638,1,sample_2,1
Lactobacillus_crispatus_1,0.826844882922362,1,sample_169,4
Lactobacillus_crispatus_1,0.933120293296737,1,sample_237,1
Lactobacillus_crispatus_1,0.916584940884922,1,sample_50,1
Lactobacillus_crispatus_1,0.615423448322703,1,sample_253,4
Lactobacillus_jensenii_1,0.368548203012191,1,sample_227,4
Lactobacillus_crispatus_1,0.978634000806752,1,sample_152,1
Lactobacillus_crispatus_1,0.931389774267493,1,sample_244,1
Lactobacillus_crispatus_1,0.976605765130111,1,sample_41,1
Lactobacillus_crispatus_1,0.649285171559811,1,sample_83,1
Lactobacillus_crispatus_1,0.808169545992597,1,sample_68,1
Lactobacillus_crispatus_1,0.991728408580245,1,sample_108,1
Lactobacillus_crispatus_1,0.977256539671345,1,sample_44,1
Lactobacillus_crispatus_1,0.981277944439121,1,sample_122,1
Lactobacillus_crispatus_1,0.981386881970558,1,sample_51,1
Lactobacillus_crispatus_1,0.995240855885097,1,sample_64,1
Lactobacillus_crispatus_1,0.608457737192341,1,sample_186,4
Lactobacillus_crispatus_1,0.982611353949316,1,sample_40,1
Lactobacillus_crispatus_1,0.46170700589541,2,sample_2367,1
Lactobacillus_iners_1,0.62481418944561,2,sample_2376,1
Lactobacillus_crispatus_1,0.647261782671955,2,sample_2383,1
Lactobacillus_crispatus_2,0.993644161070105,3,sample_1733,5
Lactobacillus_crispatus_2,0.986405222821969,3,sample_1756,5
Lactobacillus_crispatus_2,0.992414104404996,3,sample_1770,5
Lactobacillus_crispatus_2,0.99347256718956,3,sample_1803,5
Lactobacillus_crispatus_2,0.656268077872094,3,sample_1778,4
Lactobacillus_crispatus_2,0.890875555909266,3,sample_1775,3
Lactobacillus_crispatus_2,0.807743492986431,3,sample_1774,5
Lactobacillus_crispatus_2,0.98610938733314,3,sample_1712,5
Lactobacillus_crispatus_2,0.975330493857876,3,sample_1806,3
Lactobacillus_crispatus_2,0.867471725601392,3,sample_1815,3
Lactobacillus_crispatus_2,0.766629442943969,3,sample_1801,11
Lactobacillus_crispatus_2,0.502698446946261,3,sample_1738,4
Lactobacillus_crispatus_2,0.936924414646832,3,sample_1755,3
Lactobacillus_crispatus_2,0.98936239445931,3,sample_1714,3
Lactobacillus_crispatus_2,0.992596742265872,3,sample_1717,3
Lactobacillus_crispatus_2,0.785603756585522,3,sample_1710,4
Lactobacillus_crispatus_2,0.978622932765496,3,sample_1735,3
Lactobacillus_crispatus_2,0.992755470819446,3,sample_1724,5
Lactobacillus_crispatus_2,0.784837595138052,3,sample_1711,3
Lactobacillus_crispatus_2,0.877030130837699,3,sample_1807,4
Lactobacillus_crispatus_2,0.763989041208204,3,sample_1704,1
Lactobacillus_crispatus_2,0.696399152478705,3,sample_1822,3
Lactobacillus_crispatus_2,0.979004772746689,3,sample_1732,5
Lactobacillus_crispatus_2,0.988670253867671,3,sample_1788,5
Lactobacillus_crispatus_2,0.780308981857894,3,sample_1749,3
Lactobacillus_crispatus_2,0.875725021930686,3,sample_1719,4
Lactobacillus_crispatus_2,0.43527748682603,3,sample_1779,11
Lactobacillus_crispatus_2,0.886797588915043,3,sample_1742,5
Lactobacillus_crispatus_2,0.479379477383912,3,sample_1768,12
Lactobacillus_crispatus_2,0.952604124030162,3,sample_1745,3
Lactobacillus_crispatus_2,0.961194087691342,3,sample_1773,5
Lactobacillus_crispatus_2,0.722928545703915,3,sample_1727,4
Lactobacillus_crispatus_2,0.974297381060181,3,sample_1764,5
Lactobacillus_crispatus_2,0.91727396924934,3,sample_1796,3
Lactobacillus_crispatus_2,0.79805791298009,3,sample_1820,5
Lactobacillus_crispatus_2,0.892227509065932,3,sample_1809,5
Lactobacillus_crispatus_2,0.971475881284717,3,sample_1802,3
Lactobacillus_crispatus_2,0.960176206849109,3,sample_1726,5
Lactobacillus_crispatus_2,0.939381754632983,3,sample_1781,4
Lactobacillus_crispatus_2,0.996146676915199,3,sample_1753,5
Lactobacillus_crispatus_2,0.995716099819948,3,sample_1791,5
Lactobacillus_crispatus_2,0.575161870175031,3,sample_1720,16
Lactobacillus_crispatus_2,0.991244966359889,3,sample_1759,5
Lactobacillus_crispatus_2,0.903137799915441,3,sample_1709,5
Lactobacillus_crispatus_2,0.745380989989565,3,sample_1746,4
Lactobacillus_crispatus_3,0.829586121223289,4,sample_2335,6
Lactobacillus_crispatus_3,0.949228319227341,4,sample_2338,6
Lactobacillus_crispatus_3,0.990704640015522,4,sample_2348,6
Lactobacillus_crispatus_3,0.738835786294231,4,sample_2318,6
Lactobacillus_crispatus_3,0.666091568723345,4,sample_2337,6
Lactobacillus_crispatus_4,0.967543200572137,5,sample_2292,4
Lactobacillus_crispatus_4,0.797111007182263,5,sample_2275,4
Lactobacillus_gasseri_1,0.407464885204308,7,sample_2461,16
Lactobacillus_gasseri_1,0.474452378593083,7,sample_2467,8
Lactobacillus_gasseri_1,0.755444358302592,7,sample_2460,7
Streptococcus_agalactiae_1,0.513850035653557,8,sample_1591,27
Lactobacillus_iners_1,0.40518254913874,8,sample_1536,10
Lactobacillus_gasseri_3,0.501405812327065,8,sample_1581,8
Gardnerella_vaginalis_B,0.131500892714943,8,sample_1592,20
Streptococcus_agalactiae_1,0.186243925789021,8,sample_1626,27
Lactobacillus_johnsonii,0.376281769194364,8,sample_1613,27
Trichomonas_vaginalis,0.790451461222546,8,sample_1605,27
Prevotella_timonensis_3,0.156849691281807,8,sample_1559,27
Trichomonas_vaginalis,0.374957536231454,8,sample_1702,20
Streptococcus_mitis_2,0.442978989269807,8,sample_1604,27
UBA629_sp005465875_0,0.999772753653016,8,sample_1665,18
Corynebacterium,0.0758001738937053,8,sample_1641,20
Gardnerella_vaginalis_D_1,0.0473082865552437,8,sample_1598,20
Brevibacterium_ravenspurgense,0.0961983267805238,8,sample_1686,22
Klebsiella_pneumoniae,0.804035763692015,8,sample_1583,27
Streptococcus_agalactiae_2,0.219532013183242,8,sample_1627,27
Streptococcus_mitis_1,0.194150412882649,8,sample_1670,20
Lactobacillus_iners_2,0.0901806156505812,8,sample_1550,22
Streptococcus_agalactiae_2,0.74942730207934,8,sample_1695,27
Escherichia_coli_1,0.56043348744423,8,sample_1578,27
Enterococcus_faecalis_2,0.907198526886545,8,sample_1522,27
Streptococcus_anginosus_2,0.564347520601983,8,sample_1544,27
Trichomonas_vaginalis,0.223223400183013,8,sample_1553,20
Streptococcus_agalactiae_3,0.893834887312568,8,sample_1636,27
Streptococcus_agalactiae_1,0.685959732971622,8,sample_1540,27
Lactobacillus_gasseri_4,0.734030738513381,8,sample_1649,8
Lactobacillus_iners_1,0.45092020558465,8,sample_1664,12
UBA629_sp005465875_0,0.992315630008563,8,sample_1575,22
UBA629_sp005465875_0,0.998929763459585,8,sample_1621,18
Lactobacillus_gasseri_4,0.487946613830525,8,sample_1661,6
Trichomonas_vaginalis,0.347300746454253,8,sample_1663,22
Lactobacillus_johnsonii,0.906156382684416,8,sample_1606,27
Lactobacillus_paragasseri,0.398962463336796,9,sample_2426,8
Lactobacillus_paragasseri,0.63505826849439,9,sample_2416,8
Lactobacillus_paragasseri,0.647086533877022,9,sample_2411,8
Lactobacillus_paragasseri,0.65306816265242,9,sample_2414,8
Lactobacillus_paragasseri,0.512664305554121,9,sample_2418,8
Lactobacillus_iners_1,0.704406457810234,10,sample_434,12
Lactobacillus_iners_1,0.811488260573083,10,sample_427,12
Lactobacillus_iners_1,0.681007918938595,10,sample_473,12
Lactobacillus_iners_1,0.671649658529643,10,sample_433,13
Lactobacillus_iners_1,0.774095327638099,10,sample_452,10
Lactobacillus_iners_1,0.843200444420914,10,sample_440,10
