,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Aerococcus_christensenii.1,1,199,167969,191232,12786,60128,105771,197672,1379226
Aerococcus_christensenii.2,2,177,51928,55436,11597,23804,34299,59306,391455
Aerococcus_christensenii.3,3,130,260450,467540,13281,50194,109242,250074,2664179
Aerococcus_christensenii.4,4,122,242659,331187,28434,73112,166744,294627,3042314
Aerococcus_christensenii.5,5,69,149748,151331,18991,42658,85710,191896,651383
Aerococcus_christensenii.6,6,52,86652,113242,10966,24634,50275,80514,644755
Aerococcus_christensenii.7,7,30,124561,136834,14225,35572,78604,150010,661319
Alloscardovia_omnicolens.1,1,12,244227,382026,27386,36440,52164,328338,1314331
Alloscardovia_omnicolens.2,2,13,469356,804307,21349,72655,154100,280997,2451900
Anaerococcus,1,109,74262,118402,7279,13896,25452,74322,720724
Anaerococcus_mediterraneensis.1,1,14,92131,46494,35983,65747,78316,111029,199034
Anaerococcus_mediterraneensis.2,2,28,182873,208021,18816,41071,111660,209560,753353
Anaerococcus_prevotii,1,25,131695,165363,14267,30320,45860,145530,697283
Arcanobacterium_sp000758825.1,1,56,77061,85447,15069,25324,48715,90255,538141
Arcanobacterium_sp000758825.2,2,46,196064,378863,12683,40660,71083,146686,1897239
Arcanobacterium_sp000758825.3,3,32,16371,8000,8529,12278,13690,16835,42799
Arcanobacterium_sp000758825.4,4,24,15286,5839,9081,11427,13108,17716,30471
Arcanobacterium_sp000758825.5,5,20,111422,134349,12802,34132,71139,112988,533299
Arcanobacterium_sp000758825.6,6,13,135897,304792,10574,19979,30774,70555,1125298
Arcanobacterium_sp000758825.7,7,11,127081,157755,33798,55371,67924,93056,565613
Arcanobacterium_sp000758825.8,8,11,49432,60532,10238,15029,25012,46707,211510
Arcanobacterium_sp000758825.9,9,11,146980,239499,17043,22388,30859,96438,653096
Bacteroides,1,20,586134,1892231,7288,21098,39816,96530,8508148
Berryella_sp001552935.1,1,647,382334,586457,10103,66272,173042,453416,6228684
Berryella_sp001552935.2,2,244,295808,413545,9980,58917,150382,373110,3296425
Bifidobacterium_bifidum,1,40,911173,2856519,14747,26363,38540,101672,11224751
Bifidobacterium_breve.1,1,34,1764700,4945291,16647,59797,203065,795462,25578026
Bifidobacterium_breve.2,2,32,195527,343617,18379,26644,50618,116656,1546565
Bifidobacterium_breve.3,3,20,479334,1592826,12059,20221,76502,168266,7210970
CAJPTP01,1,22,32298,21489,9035,18045,26620,39955,84836
Campylobacter,1,45,67009,95294,6170,15247,34917,71968,534492
Campylobacter_ureolyticus.1,1,16,42381,49865,13199,19810,27294,42722,221538
Campylobacter_ureolyticus.2,2,17,113854,141073,14983,32131,54831,111082,482551
Candida_albicans.1,1,37,21585,11682,11122,13112,15756,26338,50600
Candida_albicans.2,2,34,101763,109093,20006,29177,60866,138134,544852
Chlamydia_trachomatis,1,24,43986,50332,7102,12716,21018,45392,178428
Corynebacterium,1,281,116458,285739,7723,16103,30313,88054,3154866
Corynebacterium_amycolatum,1,56,149532,203218,15719,30897,56746,172195,905651
Corynebacterium_aurimucosum,1,33,163119,207181,23344,44893,80121,207306,897545
Corynebacterium_riegelii.1,1,17,219795,209877,27075,44507,169838,341462,765430
